Replicate,Receptor,Negative,M1,M2,M3,M4,M5
2,Tadh127,3869.574918,5150.293025,6306.866413,5911.890862,5457.75732,5908.633426
2,Tadh128,3726.962241,4685.171604,5327.294819,4374.792302,4799.005376,5105.052758
2,Tadh129,2120.412098,1407.112365,1672.622485,1317.622052,2460.692564,1569.391137
2,Tadh130,3585.977379,4042.912056,4125.936377,4379.801468,4513.496206,2385.628337
2,Tadh131,2826.558098,2921.041014,3344.221031,2991.428026,3424.563468,3690.42316
2,Tadh133,2967.876232,2547.426248,3593.966224,4181.973234,3567.176392,3744.154934
2,Tadh134,3340.011948,5130.594158,4055.862577,5375.694959,6137.171042,5477.003281
2,Tadh136,1837.340795,979.9145174,1476.599691,819.0748984,1391.914212,1766.91785
2,Tadh138,2474.469413,2493.781213,2401.558732,2670.589577,3121.933756,3548.134775
2,Tadh139,2244.04265,2671.378675,3025.186748,3507.134803,3674.538219,3140.404439
2,Tadh140,1893.114378,1444.809713,1815.636871,1883.648462,1641.977214,1744.604257
2,Tadh141,1337.571016,1498.560702,1322.863554,774.6281506,1571.671411,1250.973625
2,Tadh142,2126.485733,1162.381962,1305.459756,1109.825118,1958.824717,1462.108824
2,Tadh143,1295.002586,1832.600864,1164.009567,2006.792956,2349.462595,2714.631733
2,Tadh144,1328.909014,1708.851081,1517.968226,2113.723881,1943.030244,2043.721218
2,Tadh145,1928.142481,1126.567529,1128.314505,1408.707517,1412.437285,2061.685725
1,Tadh112,1579.803034,1021.973243,1163.596489,1180.296433,1289.434557,1303.729141
1,Tadh132,677.2690968,475.6385664,563.9793683,1022.029294,758.9602176,1286.576544
2,Tadh166,1773.201145,1209.882159,1038.046078,1661.642418,788.5786168,1912.932296
2,Tadh167,1099.303182,1121.431068,1753.243405,1930.847956,3113.87919,1615.882575
2,Tadh168,1223.408818,5985.427573,2277.961807,2083.132368,9349.270989,1376.730376
2,Tadh169,992.6899752,1085.672702,697.762244,1304.722509,913.640182,1233.253778
2,Tadh170,1134.547999,4281.14089,4718.532504,3806.579416,6601.615016,1739.051444
3,Tadh170,1223.875145,4602.125096,4396.27079,3734.886205,7997.33551,1114.358426
2,Tadh112,1631.289534,907.8404192,1199.590708,965.6198336,967.263594,1305.878357
2,Tadh132,1117.72547,1085.118892,1718.470356,1001.022078,2418.25285,1752.049842
2,Tadh156,884.68408,1019.310773,696.2749872,1249.776412,1177.303052,1233.134086
2,Tadh157,902.9349432,1161.993934,1445.916965,1535.667694,1766.443181,1911.467978
2,Tadh158,743.3074016,554.3474624,911.0850788,749.4685232,1552.498287,1625.461555
2,Tadh159,993.4010228,1001.05469,1125.043945,803.3532832,1998.950111,1537.443797
2,Tadh160,530.94016,750.4796724,464.1248196,553.3522504,695.9594164,535.5142528
2,Tadh163,1186.267195,804.617144,464.5537844,1106.564466,1213.797358,1393.700895
2,Tadh164,849.6859988,1162.245268,1856.974774,1089.149901,1641.383868,1429.184438
2,Tadh165,1381.175588,8523.30859,11249.29582,5780.178414,11939.62678,3770.012997
2,Tadh147,903.2542464,1024.092489,1956.386948,923.8999216,1318.380708,1250.340318
2,Tadh148,1097.561778,1154.08181,2049.459261,1018.551936,1024.017456,1212.542635
2,Tadh149,1249.610918,838.0906844,1753.722654,888.1500484,1117.192932,1086.190541
2,Tadh150,1050.510206,875.2358256,1217.341021,1053.638632,750.930276,959.5774104
2,Tadh153,876.9564336,5903.976827,4282.246664,3567.007192,6335.737334,941.2431508
2,Tadh152,1361.484488,1377.95994,1809.199062,1348.652024,1921.683547,1032.116925
2,Tadh154,1455.669779,1694.694188,1513.774778,1035.668811,1409.736156,1593.198449
2,Tadh155,1742.241195,1732.098167,5240.71637,1774.798942,2325.447881,1845.918883
1,Tadh171,1964.391292,2527.587407,3581.6096,1585.030239,5052.721231,1222.658497
1,Tadh172,1941.886533,2313.579815,1435.275703,1397.56993,2285.580758,1827.477311
1,Tadh173,2334.677894,1585.601322,2106.634225,1640.310321,8043.612703,1577.894882
2,Tadh172,1180.839274,767.1899495,924.7756433,1010.995106,1017.307216,796.8760156
2,Tadh173,1346.164915,1510.701846,2440.895586,2894.557732,9706.835178,902.7539554
2,Tadh171,1530.15947,1777.428092,2124.545614,1907.411027,2052.340532,1070.342767
1,pcDNA3.1,830.1265884,702.3054654,1025.390787,1330.714008,1417.459529,1599.243516
2,pcDNA3.1,1588.557193,1038.983986,1428.666391,1103.062231,1266.43403,1271.366148
